X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
3052;638;1.590045;0.5915301;1.590045;0.5915301;776.8;0.3719921;False;2025/10/25 17:00:24:81;1761382824081;Offscreen;
1515;628;0.7892745;0.5816794;0.6665459;0.53673;778.4;0.3040256;False;2025/10/25 17:00:24:303;1761382824303;;
1900;628;0.989628;0.5815791;1.29161;0.5781296;779.9;0.2944582;False;2025/10/25 17:00:24:350;1761382824350;;
2366;628;1.232405;0.5819533;1.459939;0.590244;781.2;0.2879574;False;2025/10/25 17:00:24:403;1761382824403;Offscreen;
2612;620;1.360811;0.5746553;1.415201;0.5380121;773.3;0.282644;False;2025/10/25 17:00:25:537;1761382825537;Offscreen;
2026;618;1.055257;0.5723547;0.8608657;0.5172809;764.1;0.2564327;False;2025/10/25 17:00:25:588;1761382825588;Offscreen;
1357;617;0.7070965;0.5717879;0.6384382;0.5391958;753.7;0.337446;False;2025/10/25 17:00:25:925;1761382825925;;
2013;617;1.048725;0.5714054;1.3317;0.5534883;744.2;0.3235696;False;2025/10/25 17:00:25:965;1761382825965;Offscreen;
887;616;0.4621319;0.5706881;0.3371366;0.548018;732.2;0.2949106;False;2025/10/25 17:00:26:257;1761382826257;;
1184;616;0.6168168;0.5705049;0.852707;0.560397;721.4;0.2900162;False;2025/10/25 17:00:26:292;1761382826292;;
2318;617;1.207434;0.5716122;1.471425;0.5898919;715.9;0.3362278;False;2025/10/25 17:00:26:336;1761382826336;Offscreen;
2716;618;1.415058;0.5729333;1.523603;0.5960412;710.9;0.3342796;False;2025/10/25 17:00:26:380;1761382826380;Offscreen;
2663;618;1.387415;0.5730628;1.354307;0.5804902;701.4;0.3364671;False;2025/10/25 17:00:26:412;1761382826412;Offscreen;
2173;602;1.132008;0.5579547;0.8624066;0.4969224;696.1;0.3010689;False;2025/10/25 17:00:26:577;1761382826577;Offscreen;
2393;602;1.246504;0.5577724;1.379407;0.5265961;691.4;0.2922231;False;2025/10/25 17:00:26:608;1761382826608;Offscreen;
2501;602;1.302659;0.5575414;1.380392;0.5246729;687.1;0.2924562;False;2025/10/25 17:00:26:639;1761382826639;Offscreen;
2489;604;1.296387;0.5593351;1.079191;0.5815333;681.9;0.29468;False;2025/10/25 17:00:26:687;1761382826687;Offscreen;
1922;603;1.001234;0.5591835;0.7802047;0.5547284;680.0;0.2608996;False;2025/10/25 17:00:26:784;1761382826784;Offscreen;
1975;604;1.028703;0.55944;1.109814;0.5685586;678.3;0.2643856;False;2025/10/25 17:00:26:821;1761382826821;Offscreen;
1940;605;1.010569;0.5605837;0.9358411;0.5772291;676.7;0.2867388;False;2025/10/25 17:00:26:919;1761382826919;Offscreen;
2053;606;1.069596;0.5616713;1.196093;0.5918836;675.2;0.2787784;False;2025/10/25 17:00:26:952;1761382826952;Offscreen;
2121;607;1.105205;0.5625592;1.196043;0.5918807;673.9;0.2787397;False;2025/10/25 17:00:26:984;1761382826984;Offscreen;
2509;607;1.307249;0.562735;1.479081;0.5780089;673.3;0.263786;False;2025/10/25 17:00:27:30;1761382827030;Offscreen;
2612;608;1.360885;0.5629792;1.443435;0.5825081;670.2;0.2520646;False;2025/10/25 17:00:27:64;1761382827064;Offscreen;
2677;608;1.39433;0.5633075;1.456162;0.5862917;667.5;0.252509;False;2025/10/25 17:00:27:96;1761382827096;Offscreen;
2694;608;1.403193;0.5633289;1.423437;0.5647451;661.3;0.2583473;False;2025/10/25 17:00:27:134;1761382827134;Offscreen;
2706;608;1.409885;0.5633439;1.427603;0.5746839;655.7;0.2560629;False;2025/10/25 17:00:27:173;1761382827173;Offscreen;
2698;605;1.405554;0.5609406;1.323849;0.5263526;666.0;0.3409447;False;2025/10/25 17:00:27:218;1761382827218;Offscreen;
2729;606;1.4214;0.5612711;1.469475;0.5795013;663.5;0.3077038;False;2025/10/25 17:00:27:249;1761382827249;Offscreen;
2753;606;1.433995;0.5615742;1.479009;0.5807716;661.3;0.3087158;False;2025/10/25 17:00:27:280;1761382827280;Offscreen;
2748;606;1.431365;0.561266;1.387955;0.5482559;653.9;0.2744691;False;2025/10/25 17:00:27:313;1761382827313;Offscreen;
2744;606;1.429276;0.5611438;1.40149;0.5525807;647.2;0.2752841;False;2025/10/25 17:00:27:344;1761382827344;Offscreen;
2741;605;1.427909;0.5607706;1.381079;0.5457417;641.2;0.271534;False;2025/10/25 17:00:27:385;1761382827385;Offscreen;
2751;606;1.433202;0.5611739;1.462572;0.5793437;645.4;0.2670498;False;2025/10/25 17:00:27:416;1761382827416;Offscreen;
2759;606;1.437029;0.5615038;1.462557;0.5793443;649.1;0.2670841;False;2025/10/25 17:00:27:447;1761382827447;Offscreen;
2432;606;1.267163;0.5615073;1.123407;0.5618817;651.6;0.3013783;False;2025/10/25 17:00:27:535;1761382827535;Offscreen;
2502;606;1.303472;0.5614983;1.438157;0.5597603;653.8;0.2928882;False;2025/10/25 17:00:27:566;1761382827566;Offscreen;
2524;606;1.314604;0.5611323;1.394149;0.5442513;656.8;0.2568951;False;2025/10/25 17:00:27:598;1761382827598;Offscreen;
2539;605;1.32267;0.5608406;1.394064;0.5442435;659.6;0.2572998;False;2025/10/25 17:00:27:627;1761382827627;Offscreen;Started calibration 
