X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
2253;605;1.173842;0.5607885;1.173842;0.5607885;576.6;0.1863589;True;2025/10/25 16:56:50:91;1761382610091;Offscreen;
1754;604;0.9138582;0.5598809;0.7660336;0.5410958;573.7;0.2044597;True;2025/10/25 16:56:50:178;1761382610178;;
1312;603;0.6836154;0.5589743;0.4889393;0.5292266;574.8;0.1991379;True;2025/10/25 16:56:50:214;1761382610214;;
1148;602;0.5982097;0.5580832;0.4943056;0.524474;575.7;0.199065;True;2025/10/25 16:56:50:242;1761382610242;;
1054;602;0.5494544;0.5576257;0.4854846;0.5306772;574.1;0.2072543;True;2025/10/25 16:56:50:275;1761382610275;;
1023;601;0.5329062;0.5569129;0.5038654;0.5234869;572.6;0.207191;True;2025/10/25 16:56:50:305;1761382610305;;
913;600;0.4760415;0.5562074;0.4011654;0.5227193;574.2;0.2122068;True;2025/10/25 16:56:50:340;1761382610340;;
806;600;0.4203112;0.5559301;0.3382732;0.5278679;575.7;0.21206;True;2025/10/25 16:56:50:371;1761382610371;;
740;597;0.3857166;0.5530103;0.3310507;0.4937713;578.0;0.2056548;True;2025/10/25 16:56:50:404;1761382610404;;
690;595;0.359475;0.5510389;0.3106133;0.4962074;580.1;0.2055482;True;2025/10/25 16:56:50:435;1761382610435;;
711;594;0.3703158;0.5508417;0.4134788;0.5314128;583.1;0.209344;True;2025/10/25 16:56:50:468;1761382610468;;
724;594;0.3772524;0.5506927;0.4128045;0.531214;585.8;0.2092216;True;2025/10/25 16:56:50:499;1761382610499;;
685;593;0.3570567;0.5491306;0.306815;0.4990935;584.9;0.1951013;True;2025/10/25 16:56:50:531;1761382610531;;
663;591;0.3457271;0.5481384;0.3078049;0.5011918;584.0;0.1950646;True;2025/10/25 16:56:50:561;1761382610561;;
735;591;0.3832936;0.5480591;0.5503038;0.5200126;585.1;0.1816338;True;2025/10/25 16:56:50:594;1761382610594;;
789;591;0.4111165;0.547942;0.5582023;0.5221834;586.0;0.1815932;True;2025/10/25 16:56:50:623;1761382610623;;
818;591;0.4262294;0.5478758;0.5407495;0.517022;583.9;0.2057342;True;2025/10/25 16:56:50:655;1761382610655;;
818;591;0.4263405;0.547862;0.4865017;0.5182078;582.1;0.2056755;True;2025/10/25 16:56:50:684;1761382610684;;
821;589;0.4277182;0.5459689;0.469477;0.4891922;583.1;0.2084201;True;2025/10/25 16:56:50:716;1761382610716;;
823;588;0.4287674;0.5446292;0.4691686;0.4901968;583.9;0.2083354;True;2025/10/25 16:56:50:746;1761382610746;;
