X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
762;371;0.3971764;0.3440246;0.3971764;0.3440246;694.6;0.1543325;True;2025/10/25 19:36:59:122;1761392219122;;
779;375;0.4059198;0.3475763;0.4729241;0.406323;694.6;0.1547319;True;2025/10/25 19:36:59:149;1761392219149;;
779;379;0.4059562;0.350933;0.4115784;0.4102206;693.3;0.152094;True;2025/10/25 19:36:59:176;1761392219176;;
779;385;0.4059968;0.3571687;0.4122364;0.4400089;692.1;0.1521216;True;2025/10/25 19:36:59:202;1761392219202;;
779;387;0.4060189;0.3588452;0.4115539;0.4102268;691.0;0.1520857;True;2025/10/25 19:36:59:225;1761392219225;;
817;388;0.4255296;0.3600098;0.5292112;0.4057622;688.9;0.1667135;True;2025/10/25 19:36:59:249;1761392219249;;
830;391;0.4323338;0.3627473;0.4957752;0.4291324;687.1;0.1667206;True;2025/10/25 19:36:59:270;1761392219270;;
840;394;0.4379504;0.3651395;0.4957578;0.4291348;685.4;0.1667215;True;2025/10/25 19:36:59:294;1761392219294;;
889;396;0.4633093;0.3674973;0.5760223;0.4313563;682.5;0.164521;True;2025/10/25 19:36:59:320;1761392219320;;
909;399;0.4738601;0.3697692;0.549957;0.4366264;679.9;0.1645149;True;2025/10/25 19:36:59:344;1761392219344;;
963;401;0.5017335;0.3714802;0.6171168;0.4325395;679.1;0.1726002;True;2025/10/25 19:36:59:369;1761392219369;;
1001;403;0.5215764;0.3735643;0.6140736;0.4389624;678.5;0.1725942;True;2025/10/25 19:36:59:397;1761392219397;;
1029;405;0.535958;0.3753107;0.6120819;0.4381495;677.9;0.1726519;True;2025/10/25 19:36:59:425;1761392219425;;
1026;407;0.5345255;0.3774324;0.5003332;0.4476765;675.1;0.1591695;True;2025/10/25 19:36:59:451;1761392219451;;
1023;409;0.5332283;0.3792813;0.4984544;0.4494633;672.6;0.1592124;True;2025/10/25 19:36:59:474;1761392219474;;
1025;411;0.5343152;0.3807893;0.5531671;0.4476495;668.8;0.1863046;True;2025/10/25 19:36:59:501;1761392219501;;
1027;412;0.5351485;0.3820248;0.552782;0.4477199;665.4;0.1861961;True;2025/10/25 19:36:59:524;1761392219524;;
1028;413;0.535849;0.383065;0.5529969;0.4476807;662.3;0.1862913;True;2025/10/25 19:36:59:550;1761392219550;;
1027;415;0.5352317;0.3844352;0.5137839;0.4532789;657.4;0.176676;True;2025/10/25 19:36:59:575;1761392219575;;
1026;416;0.534744;0.385521;0.5137402;0.4532869;652.9;0.1766736;True;2025/10/25 19:36:59:598;1761392219598;;
1025;417;0.5342458;0.3866047;0.5134555;0.4533392;648.8;0.1766576;True;2025/10/25 19:36:59:626;1761392219626;;
1000;425;0.5208881;0.3938991;0.4392359;0.5022733;644.1;0.1967116;True;2025/10/25 19:36:59:657;1761392219657;;
994;426;0.5178265;0.3953626;0.4695114;0.4719688;639.8;0.1966249;True;2025/10/25 19:36:59:679;1761392219679;;
995;427;0.5186589;0.3961031;0.5355939;0.4263676;635.9;0.1833156;True;2025/10/25 19:36:59:704;1761392219704;;
997;428;0.5193141;0.3967013;0.5355291;0.4263785;632.4;0.1833376;True;2025/10/25 19:36:59:728;1761392219728;;
998;429;0.5198759;0.3972223;0.5355545;0.4263746;629.3;0.1833451;True;2025/10/25 19:36:59:753;1761392219753;;
1021;429;0.5319275;0.3977078;0.6099317;0.4223485;627.9;0.1913671;True;2025/10/25 19:36:59:779;1761392219779;;
1083;429;0.564464;0.3980205;0.6928097;0.4095383;626.6;0.1913486;True;2025/10/25 19:36:59:802;1761392219802;;
1128;430;0.5879078;0.3982915;0.6925941;0.4095863;625.4;0.1912754;True;2025/10/25 19:36:59:825;1761392219825;;
1129;430;0.5881151;0.3985653;0.5932637;0.4149481;623.7;0.1937978;True;2025/10/25 19:36:59:850;1761392219850;;
1128;430;0.5880181;0.398792;0.582046;0.4161171;622.0;0.1937987;True;2025/10/25 19:36:59:874;1761392219874;;
1081;431;0.5632201;0.3998578;0.4471742;0.4506023;619.1;0.1916978;True;2025/10/25 19:36:59:900;1761392219900;;
1055;432;0.5496063;0.4001718;0.4649628;0.4396071;616.5;0.1916896;True;2025/10/25 19:36:59:928;1761392219928;;
1031;433;0.5369872;0.4014496;0.4565568;0.4556715;614.1;0.1917181;True;2025/10/25 19:36:59:956;1761392219956;;
989;434;0.515581;0.4018601;0.4081824;0.4462229;614.4;0.196574;True;2025/10/25 19:36:59:981;1761392219981;;
955;434;0.4977516;0.4018935;0.3988833;0.4385913;614.6;0.1964849;True;2025/10/25 19:37:00:5;1761392220005;;
928;434;0.4835138;0.4019252;0.398938;0.4385814;614.8;0.1965332;True;2025/10/25 19:37:00:31;1761392220031;;
965;434;0.5026693;0.402229;0.6003724;0.4193031;613.8;0.1849049;True;2025/10/25 19:37:00:58;1761392220058;;
990;434;0.5160158;0.4024719;0.6002102;0.4193354;612.9;0.1848786;True;2025/10/25 19:37:00:81;1761392220081;;
988;435;0.5148303;0.4030353;0.4872802;0.4468873;612.3;0.1974872;True;2025/10/25 19:37:00:107;1761392220107;;
986;435;0.5138651;0.4035025;0.4871551;0.44691;611.7;0.197477;True;2025/10/25 19:37:00:131;1761392220131;;
985;436;0.5130563;0.4039031;0.4871537;0.4469102;611.2;0.197477;True;2025/10/25 19:37:00:155;1761392220155;;
983;437;0.512468;0.4047691;0.4888162;0.4563106;608.3;0.1969065;True;2025/10/25 19:37:00:180;1761392220180;;
982;437;0.5119712;0.4055026;0.4887753;0.4563164;605.7;0.1968927;True;2025/10/25 19:37:00:204;1761392220204;;
943;439;0.4912413;0.4069428;0.384766;0.46752;605.3;0.1982752;True;2025/10/25 19:37:00:229;1761392220229;;
914;440;0.476518;0.4081075;0.3847246;0.4675245;605.0;0.1982639;True;2025/10/25 19:37:00:254;1761392220254;;
893;441;0.4651803;0.4091136;0.3846833;0.4675272;604.8;0.198228;True;2025/10/25 19:37:00:280;1761392220280;;
884;443;0.4606605;0.4104998;0.4077609;0.4745072;607.8;0.1985942;True;2025/10/25 19:37:00:305;1761392220305;;
886;443;0.4617609;0.4107783;0.4841975;0.4454212;610.5;0.1985526;True;2025/10/25 19:37:00:328;1761392220328;;
888;443;0.4627285;0.4110335;0.4841647;0.4454273;613.0;0.198549;True;2025/10/25 19:37:00:352;1761392220352;;
