X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
2043;610;1.064296;0.5651186;1.064296;0.5651186;483.2;0.2025336;True;2025/10/25 16:37:09:40;1761381429040;Offscreen;
2049;610;1.067408;0.5650883;1.106573;0.5598301;483.2;0.2006878;True;2025/10/25 16:37:09:69;1761381429069;Offscreen;
1895;608;0.987127;0.5633997;0.8183892;0.5240113;482.5;0.1992628;True;2025/10/25 16:37:09:98;1761381429098;;
1805;607;0.9405113;0.5620772;0.8193507;0.5240653;481.8;0.1995597;True;2025/10/25 16:37:09:126;1761381429126;;
1740;605;0.9067305;0.5607953;0.8191493;0.5240549;481.2;0.1994936;True;2025/10/25 16:37:09:160;1761381429160;;
1702;605;0.8867201;0.5603412;0.8301122;0.535387;478.9;0.2061456;True;2025/10/25 16:37:09:204;1761381429204;;
1702;605;0.8867827;0.5603244;0.9388738;0.5443388;477.8;0.1917874;True;2025/10/25 16:37:09:232;1761381429232;;
1704;605;0.8879588;0.5603155;0.9130579;0.5454326;476.8;0.1917761;True;2025/10/25 16:37:09:262;1761381429262;;
1696;605;0.8836022;0.5602687;0.8556975;0.5428488;475.9;0.1973059;True;2025/10/25 16:37:09:293;1761381429293;;
1690;605;0.8805237;0.5602311;0.8556793;0.5428475;475.2;0.1973036;True;2025/10/25 16:37:09:321;1761381429321;;
1701;604;0.8861801;0.5601653;0.9545251;0.5507592;472.0;0.2017104;True;2025/10/25 16:37:09:352;1761381429352;;
1701;604;0.8863798;0.5601317;0.8902509;0.5479165;469.2;0.2017198;True;2025/10/25 16:37:09:381;1761381429381;;
1711;604;0.8912699;0.5600805;0.954437;0.5507525;466.7;0.2017054;True;2025/10/25 16:37:09:410;1761381429410;;
1768;604;0.9212303;0.5600216;1.044645;0.5435163;465.0;0.1977337;True;2025/10/25 16:37:09:442;1761381429442;;
1808;604;0.9417285;0.5599731;1.04471;0.5435253;463.4;0.1977338;True;2025/10/25 16:37:09:472;1761381429472;;
1808;604;0.9417745;0.5599552;0.9435266;0.5587116;463.4;0.2220173;True;2025/10/25 16:37:09:502;1761381429502;;
1808;604;0.9418126;0.5599415;0.9437133;0.5587266;463.3;0.2220104;True;2025/10/25 16:37:09:529;1761381429529;;
1785;604;0.9300845;0.5598975;0.8629233;0.5465543;461.2;0.202589;True;2025/10/25 16:37:09:560;1761381429560;;
1770;604;0.9219758;0.5598626;0.8629748;0.5465583;459.3;0.202591;True;2025/10/25 16:37:09:589;1761381429589;;
1758;604;0.9156542;0.5598317;0.8630168;0.5465615;457.6;0.2025925;True;2025/10/25 16:37:09:618;1761381429618;;
1743;604;0.9083208;0.5598294;0.8511619;0.5482735;457.8;0.1880651;True;2025/10/25 16:37:09:647;1761381429647;;
1734;604;0.9031741;0.5598273;0.8513223;0.5482877;458.1;0.1880557;True;2025/10/25 16:37:09:675;1761381429675;;
1724;603;0.8984336;0.558945;0.8485252;0.5244638;460.4;0.2180376;True;2025/10/25 16:37:09:705;1761381429705;;
1718;602;0.8949129;0.5582546;0.8484782;0.5244586;462.5;0.2180364;True;2025/10/25 16:37:09:733;1761381429733;;
1694;602;0.8824469;0.5581918;0.8025184;0.5532479;462.4;0.1955361;True;2025/10/25 16:37:09:763;1761381429763;;
1656;602;0.8626058;0.5581592;0.7622684;0.5458224;462.3;0.1955426;True;2025/10/25 16:37:09:792;1761381429792;;
1752;602;0.9129734;0.558083;1.022853;0.5525631;463.3;0.2007093;True;2025/10/25 16:37:09:837;1761381429837;;
1802;602;0.9389397;0.5580325;1.024362;0.5517486;464.1;0.20087;True;2025/10/25 16:37:09:874;1761381429874;;
1826;602;0.951474;0.5580591;1.018639;0.5599816;464.1;0.2002102;True;2025/10/25 16:37:09:905;1761381429905;;
1843;602;0.9603589;0.5580807;1.018783;0.5599979;464.1;0.2001606;True;2025/10/25 16:37:09:932;1761381429932;;
1851;602;0.9645573;0.5581897;1.003303;0.5651175;466.3;0.2020283;True;2025/10/25 16:37:09:962;1761381429962;;
1857;602;0.9675512;0.558273;1.003331;0.56512;468.2;0.2020225;True;2025/10/25 16:37:09:988;1761381429988;;
1858;603;0.9679155;0.5583363;0.9796452;0.5645969;469.9;0.2019858;True;2025/10/25 16:37:10:16;1761381430016;;
1860;603;0.969133;0.5583609;0.992497;0.5621232;469.7;0.2112383;True;2025/10/25 16:37:10:45;1761381430045;;
1862;603;0.9700934;0.558381;0.9926169;0.5621333;469.5;0.2112169;True;2025/10/25 16:37:10:73;1761381430073;;
1843;603;0.9598991;0.5583379;0.8924435;0.5517638;470.3;0.2090474;True;2025/10/25 16:37:10:102;1761381430102;;
1829;602;0.9527022;0.5583039;0.8924577;0.5517672;471.1;0.2090225;True;2025/10/25 16:37:10:130;1761381430130;;
1816;602;0.9461382;0.5582215;0.8886804;0.5483061;468.8;0.2084698;True;2025/10/25 16:37:10:159;1761381430159;;
1791;602;0.9331773;0.557945;0.8505017;0.5396199;466.8;0.208442;True;2025/10/25 16:37:10:186;1761381430186;;
1856;602;0.9668415;0.5579391;1.083741;0.556515;467.1;0.1924025;True;2025/10/25 16:37:10:214;1761381430214;;
1898;602;0.9890117;0.5579343;1.083825;0.5565228;467.3;0.1923992;True;2025/10/25 16:37:10:242;1761381430242;;
1930;602;1.005212;0.5579301;1.08377;0.5565178;467.6;0.1924013;True;2025/10/25 16:37:10:270;1761381430270;Offscreen;
1920;602;1.000089;0.5579202;0.9482958;0.5529425;467.7;0.2038498;True;2025/10/25 16:37:10:311;1761381430311;Offscreen;
1908;602;0.9941482;0.5579158;0.9283916;0.5531643;467.8;0.2038978;True;2025/10/25 16:37:10:338;1761381430338;;
1890;602;0.9848099;0.5578629;0.9085598;0.5486551;467.9;0.1890295;True;2025/10/25 16:37:10:368;1761381430368;;
1876;602;0.977553;0.5578174;0.9085771;0.5486565;468.0;0.1890285;True;2025/10/25 16:37:10:399;1761381430399;;
1869;602;0.9739152;0.5577887;0.9209664;0.549523;468.1;0.1890521;True;2025/10/25 16:37:10:433;1761381430433;;
1833;602;0.9550492;0.5577797;0.8529814;0.5536018;466.7;0.2000092;True;2025/10/25 16:37:10:463;1761381430463;;
1874;602;0.9763588;0.5577719;1.063895;0.5538076;464.4;0.1964122;True;2025/10/25 16:37:10:492;1761381430492;;
1924;602;1.002108;0.5577641;1.100034;0.5552352;462.4;0.1965007;True;2025/10/25 16:37:10:519;1761381430519;Offscreen;
1940;602;1.010765;0.5577593;1.064334;0.5538348;460.5;0.1964643;True;2025/10/25 16:37:10:547;1761381430547;Offscreen;
1926;601;1.003546;0.5571113;0.9331338;0.5302073;463.0;0.1809648;True;2025/10/25 16:37:10:576;1761381430576;Offscreen;
1926;601;1.00341;0.5567852;0.9768474;0.5354989;465.2;0.1809623;True;2025/10/25 16:37:10:607;1761381430607;Offscreen;
1912;599;0.9960444;0.5546809;0.9279507;0.5088062;467.5;0.1912041;True;2025/10/25 16:37:10:640;1761381430640;;
1885;597;0.9818701;0.5529948;0.8877428;0.5058455;469.6;0.1912583;True;2025/10/25 16:37:10:669;1761381430669;;
1894;597;0.9867603;0.5529737;1.025363;0.5517724;469.6;0.2000877;True;2025/10/25 16:37:10:698;1761381430698;;
1901;597;0.9903535;0.5529571;1.025459;0.5517793;469.5;0.2000915;True;2025/10/25 16:37:10:726;1761381430726;;
1906;597;0.9932251;0.5529427;1.025496;0.5517819;469.5;0.200093;True;2025/10/25 16:37:10:753;1761381430753;;
1983;597;1.032833;0.5530833;1.156427;0.5602509;467.7;0.2053953;True;2025/10/25 16:37:10:783;1761381430783;Offscreen;
2048;597;1.066757;0.5532529;1.17831;0.5624453;466.0;0.2054771;True;2025/10/25 16:37:10:810;1761381430810;Offscreen;
2123;597;1.106241;0.5535744;1.219014;0.5679135;464.1;0.2066805;True;2025/10/25 16:37:10:841;1761381430841;Offscreen;
2171;598;1.130902;0.5538265;1.219394;0.5679398;462.4;0.2067316;True;2025/10/25 16:37:10:868;1761381430868;Offscreen;
2188;597;1.139628;0.5536358;1.186713;0.5399802;463.6;0.2058897;True;2025/10/25 16:37:10:898;1761381430898;Offscreen;
2199;597;1.145816;0.5534815;1.186711;0.5399802;464.7;0.2058896;True;2025/10/25 16:37:10:927;1761381430927;Offscreen;
2237;597;1.165328;0.5535194;1.24281;0.5575832;465.6;0.2115994;True;2025/10/25 16:37:10:958;1761381430958;Offscreen;
2261;597;1.177887;0.5535485;1.243222;0.5576256;466.4;0.2116212;True;2025/10/25 16:37:10:986;1761381430986;Offscreen;
2295;597;1.195349;0.5535954;1.271279;0.5592366;467.1;0.211646;True;2025/10/25 16:37:11:16;1761381431016;Offscreen;
2302;597;1.199103;0.5536199;1.229694;0.5577716;466.4;0.2230925;True;2025/10/25 16:37:11:49;1761381431049;Offscreen;
2349;597;1.223535;0.553692;1.320641;0.5620781;465.7;0.2231903;True;2025/10/25 16:37:11:77;1761381431077;Offscreen;
2432;598;1.267084;0.5539933;1.390494;0.571333;464.6;0.2128547;True;2025/10/25 16:37:11:106;1761381431106;Offscreen;
2486;598;1.294813;0.5542365;1.391004;0.571363;463.6;0.2129519;True;2025/10/25 16:37:11:135;1761381431135;Offscreen;
2595;598;1.351939;0.5542793;1.485178;0.5637674;462.9;0.2212108;True;2025/10/25 16:37:11:164;1761381431164;Offscreen;
2661;598;1.386187;0.5542839;1.476616;0.5597202;462.2;0.2212178;True;2025/10/25 16:37:11:196;1761381431196;Offscreen;
2699;598;1.405797;0.5542966;1.471033;0.5615452;461.6;0.2211542;True;2025/10/25 16:37:11:228;1761381431228;Offscreen;
2624;598;1.367157;0.5543414;1.212826;0.5644728;460.6;0.2197562;True;2025/10/25 16:37:11:257;1761381431257;Offscreen;
2791;599;1.454049;0.5551225;1.613522;0.5851881;458.7;0.2195933;True;2025/10/25 16:37:11:287;1761381431287;Offscreen;
2884;600;1.502156;0.55573;1.613509;0.5851873;456.9;0.2195903;True;2025/10/25 16:37:11:314;1761381431314;Offscreen;
2943;600;1.533069;0.5562598;1.613754;0.5852013;455.3;0.219649;True;2025/10/25 16:37:11:344;1761381431344;Offscreen;
2938;601;1.530723;0.5565803;1.515648;0.581555;455.1;0.2199437;True;2025/10/25 16:37:11:376;1761381431376;Offscreen;
2934;601;1.52854;0.5566941;1.469544;0.5769253;454.9;0.2197985;True;2025/10/25 16:37:11:410;1761381431410;Offscreen;
2931;601;1.52657;0.5567552;1.506954;0.5686508;454.8;0.2209709;True;2025/10/25 16:37:11:440;1761381431440;Offscreen;
2928;601;1.52515;0.556803;1.507248;0.5686709;454.8;0.2210259;True;2025/10/25 16:37:11:469;1761381431469;Offscreen;
2926;601;1.524302;0.5568077;1.513641;0.5720102;455.8;0.2270468;True;2025/10/25 16:37:11:497;1761381431497;Offscreen;
2925;601;1.523505;0.5568258;1.489804;0.5728522;456.8;0.2271034;True;2025/10/25 16:37:11:524;1761381431524;Offscreen;
2916;601;1.518901;0.5568706;1.446218;0.5687829;457.7;0.2270816;True;2025/10/25 16:37:11:556;1761381431556;Offscreen;
2879;601;1.499829;0.5569374;1.393466;0.5655553;459.0;0.2141892;True;2025/10/25 16:37:11:592;1761381431592;Offscreen;
2845;601;1.482063;0.5571245;1.41584;0.5733767;460.3;0.2135891;True;2025/10/25 16:37:11:763;1761381431763;Offscreen;
2958;602;1.540715;0.5582124;1.623232;0.5885187;457.1;0.2013877;True;2025/10/25 16:37:11:837;1761381431837;Offscreen;
2918;602;1.519934;0.5582722;1.401589;0.5736484;456.2;0.2305545;True;2025/10/25 16:37:11:865;1761381431865;Offscreen;
2924;603;1.523036;0.5583621;1.54742;0.5686657;456.5;0.2188014;True;2025/10/25 16:37:11:895;1761381431895;Offscreen;
2923;603;1.522647;0.5584356;1.512603;0.5678971;456.7;0.2189376;True;2025/10/25 16:37:11:923;1761381431923;Offscreen;
2922;603;1.522313;0.5585004;1.512547;0.5678956;456.9;0.2189157;True;2025/10/25 16:37:11:952;1761381431952;Offscreen;
2925;603;1.52381;0.5589707;1.537773;0.5851645;457.6;0.2317314;True;2025/10/25 16:37:11:996;1761381431996;Offscreen;
2927;603;1.524707;0.5592539;1.538329;0.5851974;458.2;0.2319454;True;2025/10/25 16:37:12:30;1761381432030;Offscreen;
2915;603;1.518438;0.5591351;1.457546;0.5543606;456.1;0.2333619;True;2025/10/25 16:37:12:60;1761381432060;Offscreen;
2915;604;1.518332;0.5593884;1.508575;0.5833482;456.0;0.224891;True;2025/10/25 16:37:12:90;1761381432090;Offscreen;
2908;604;1.514916;0.559548;1.466387;0.581937;455.9;0.2251091;True;2025/10/25 16:37:12:118;1761381432118;Offscreen;
2908;604;1.5148;0.5597237;1.509064;0.5833734;455.8;0.2249745;True;2025/10/25 16:37:12:147;1761381432147;Offscreen;
2898;604;1.50985;0.5597791;1.456175;0.5796019;456.2;0.2354132;True;2025/10/25 16:37:12:182;1761381432182;Offscreen;
2891;604;1.506027;0.5598214;1.454888;0.5795334;456.6;0.2349793;True;2025/10/25 16:37:12:213;1761381432213;Offscreen;
