X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
682;476;0.355432;0.4412176;0.355432;0.4412176;485.8;0.1487496;True;2025/10/25 19:47:21:846;1761392841846;;
674;476;0.3515538;0.441076;0.3027574;0.4283003;485.8;0.1488871;True;2025/10/25 19:47:21:868;1761392841868;;
675;464;0.3519489;0.4301426;0.3663377;0.3233218;487.3;0.1644184;True;2025/10/25 19:47:21:892;1761392841892;;
676;455;0.3522719;0.4216285;0.3662623;0.3232043;488.7;0.1643922;True;2025/10/25 19:47:21:914;1761392841914;;
676;447;0.3525593;0.4145233;0.3663141;0.3232847;489.9;0.16441;True;2025/10/25 19:47:21:937;1761392841937;;
693;450;0.3613565;0.4168436;0.4280427;0.4571412;488.0;0.1664073;True;2025/10/25 19:47:21:966;1761392841966;;
706;452;0.3681967;0.4187647;0.4281321;0.4572724;486.3;0.166427;True;2025/10/25 19:47:21:995;1761392841995;;
715;453;0.3725163;0.4200268;0.4280755;0.457189;484.7;0.1664144;True;2025/10/25 19:47:22:16;1761392842016;;
744;455;0.3875317;0.4221365;0.4794052;0.4689661;485.7;0.1678266;True;2025/10/25 19:47:22:42;1761392842042;;
764;457;0.3983032;0.4237911;0.4794081;0.4689687;486.6;0.167827;True;2025/10/25 19:47:22:65;1761392842065;;
770;491;0.401375;0.4548688;0.4468468;0.6270657;487.0;0.1722004;True;2025/10/25 19:47:22:91;1761392842091;;
775;515;0.4037923;0.4773502;0.4468127;0.6270347;487.4;0.1721904;True;2025/10/25 19:47:22:115;1761392842115;;
779;534;0.4058289;0.4948708;0.4468518;0.6270702;487.8;0.172202;True;2025/10/25 19:47:22:140;1761392842140;;
774;534;0.4034054;0.4949879;0.3734346;0.5094944;489.9;0.1750492;True;2025/10/25 19:47:22:167;1761392842167;;
771;534;0.401636;0.495078;0.3733958;0.5094839;491.8;0.1750352;True;2025/10/25 19:47:22:190;1761392842190;;
