X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
999;628;0.5207143;0.5822287;0.5207143;0.5822287;428.3;0.1562117;True;2025/10/25 19:44:49:226;1761392689226;;
973;633;0.5071375;0.5866085;0.4239531;0.6523476;428.3;0.156393;True;2025/10/25 19:44:49:251;1761392689251;;
966;635;0.5034155;0.5885389;0.4602653;0.6334828;429.2;0.1560032;True;2025/10/25 19:44:49:280;1761392689280;;
962;636;0.5014911;0.5895264;0.4654194;0.6279265;430.0;0.1559787;True;2025/10/25 19:44:49:304;1761392689304;;
961;637;0.5008456;0.5901943;0.4778072;0.6242518;430.7;0.1559685;True;2025/10/25 19:44:49:327;1761392689327;;
960;637;0.5005099;0.5905368;0.4820493;0.618453;430.2;0.1524728;True;2025/10/25 19:44:49:352;1761392689352;;
960;638;0.5001692;0.5908672;0.4817447;0.6183603;429.7;0.1524697;True;2025/10/25 19:44:49:379;1761392689379;;
955;639;0.4974714;0.5924172;0.4564246;0.6389528;429.2;0.1524988;True;2025/10/25 19:44:49:410;1761392689410;;
954;641;0.4970523;0.593675;0.4740966;0.6412545;428.8;0.1524571;True;2025/10/25 19:44:49:435;1761392689435;;
953;641;0.4966087;0.5937164;0.4722216;0.6188905;428.4;0.1524778;True;2025/10/25 19:44:49:460;1761392689460;;
963;651;0.5018791;0.6033731;0.5486965;0.7115714;429.5;0.1508924;True;2025/10/25 19:44:49:486;1761392689486;;
971;658;0.5057794;0.6096111;0.5497549;0.7062684;430.5;0.1508826;True;2025/10/25 19:44:49:508;1761392689508;;
977;664;0.5090017;0.6149265;0.5494819;0.7062377;431.4;0.1508707;True;2025/10/25 19:44:49:532;1761392689532;;
969;663;0.5051454;0.6147633;0.4567529;0.6101899;431.0;0.1522242;True;2025/10/25 19:44:49:557;1761392689557;;
962;664;0.5013124;0.6148296;0.450393;0.6177583;430.6;0.1522227;True;2025/10/25 19:44:49:581;1761392689581;;
967;659;0.5037133;0.6111009;0.5363339;0.5609899;429.4;0.1550805;True;2025/10/25 19:44:49:607;1761392689607;;
970;656;0.5055509;0.6082287;0.5362198;0.5609696;428.2;0.1550795;True;2025/10/25 19:44:49:630;1761392689630;;
973;654;0.5071084;0.6057695;0.5360606;0.5609415;427.2;0.1550781;True;2025/10/25 19:44:49:655;1761392689655;;
1006;649;0.5244578;0.6015859;0.6171157;0.5408156;426.1;0.1585181;True;2025/10/25 19:44:49:681;1761392689681;;
1028;644;0.5359018;0.5968416;0.6149995;0.5263281;425.1;0.1585515;True;2025/10/25 19:44:49:705;1761392689705;;
1046;640;0.5448353;0.5928982;0.6149881;0.5263283;424.2;0.1585533;True;2025/10/25 19:44:49:730;1761392689730;;
1045;638;0.5447152;0.5907973;0.5368101;0.5396737;423.7;0.1621239;True;2025/10/25 19:44:49:756;1761392689756;;
1045;636;0.5446131;0.5891533;0.5365558;0.539646;423.3;0.1621158;True;2025/10/25 19:44:49:779;1761392689779;;
1045;634;0.5445105;0.5875526;0.5365198;0.5396422;422.9;0.1621147;True;2025/10/25 19:44:49:807;1761392689807;;
1035;632;0.5392343;0.5856764;0.4896375;0.5350161;423.4;0.1628055;True;2025/10/25 19:44:49:839;1761392689839;;
1024;630;0.5336412;0.5834898;0.4747777;0.522665;423.9;0.1628143;True;2025/10/25 19:44:49:863;1761392689863;;
1007;629;0.5247698;0.5829361;0.4526491;0.542566;425.2;0.1484169;True;2025/10/25 19:44:49:889;1761392689889;;
995;629;0.5183051;0.5824996;0.452471;0.5425704;426.4;0.1484046;True;2025/10/25 19:44:49:913;1761392689913;;
893;639;0.4653961;0.5925624;0.3090607;0.6771926;424.5;0.1650993;True;2025/10/25 19:44:49:939;1761392689939;;
822;648;0.4285574;0.6008404;0.3091099;0.6771988;422.8;0.1651009;True;2025/10/25 19:44:49:967;1761392689967;;
775;656;0.4038862;0.6076021;0.3111763;0.6781234;421.2;0.1651348;True;2025/10/25 19:44:49:996;1761392689996;;
