X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1264;328;1.278485;0.5446827;1.278485;0.5446827;475.4;0.2020475;True;2025/10/25 16:54:56:113;1761382496113;Offscreen;
1117;328;1.129543;0.5442929;0.9361234;0.5278366;477.8;0.199729;True;2025/10/25 16:54:56:200;1761382496200;Offscreen;
781;328;0.7897664;0.5437738;0.3942935;0.513805;478.2;0.2035613;True;2025/10/25 16:54:56:236;1761382496236;;
637;327;0.6449223;0.5421975;0.4098642;0.4877354;478.4;0.2139108;True;2025/10/25 16:54:56:268;1761382496268;;
560;326;0.5672016;0.5409647;0.4096174;0.4877551;478.7;0.2138819;True;2025/10/25 16:54:56:297;1761382496297;;
575;326;0.5818784;0.5398977;0.6658735;0.4877417;481.3;0.2012035;True;2025/10/25 16:54:56:329;1761382496329;;
586;325;0.5931792;0.5388709;0.6854966;0.4841551;483.6;0.2012024;True;2025/10/25 16:54:56:358;1761382496358;;
593;325;0.5997381;0.5383578;0.7517819;0.4936999;486.4;0.2032301;True;2025/10/25 16:54:56:393;1761382496393;;
595;324;0.6024678;0.5379974;0.7664909;0.4938946;488.9;0.2031559;True;2025/10/25 16:54:56:422;1761382496422;;
499;324;0.505066;0.5372547;0.3037056;0.4832474;491.6;0.2040286;True;2025/10/25 16:54:56:454;1761382496454;;
443;324;0.4485935;0.5366614;0.303708;0.483252;494.0;0.204015;True;2025/10/25 16:54:56:483;1761382496483;;
448;324;0.4534517;0.5366108;0.6098249;0.4969562;494.5;0.2019971;True;2025/10/25 16:54:56:514;1761382496514;;
452;324;0.4572288;0.5365699;0.6095763;0.4969612;494.9;0.2019819;True;2025/10/25 16:54:56:544;1761382496544;;
455;324;0.4604173;0.5365334;0.609626;0.4969602;495.3;0.2019851;True;2025/10/25 16:54:56:573;1761382496573;;
459;323;0.4647177;0.5356698;0.4969758;0.4752895;494.9;0.1880292;True;2025/10/25 16:54:56:604;1761382496604;;
462;323;0.4677069;0.535009;0.496625;0.4753072;494.5;0.1879912;True;2025/10/25 16:54:56:633;1761382496633;;
429;323;0.4337878;0.5349185;0.3115028;0.4885154;497.0;0.1865857;True;2025/10/25 16:54:56:663;1761382496663;;
407;323;0.4117825;0.5348496;0.3117733;0.4886605;499.2;0.1866374;True;2025/10/25 16:54:56:692;1761382496692;;
508;322;0.5136884;0.5346141;0.8285174;0.4834803;499.5;0.179409;True;2025/10/25 16:54:56:723;1761382496723;;
570;322;0.576972;0.5344303;0.8284561;0.483479;499.9;0.179406;True;2025/10/25 16:54:56:751;1761382496751;;
