X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1485;584;0.7734505;0.5409557;0.7734505;0.5409557;572.8;0.1861946;True;2025/10/25 16:59:38:854;1761382778854;;
1442;579;0.7513354;0.5369368;0.7015476;0.5049803;572.4;0.1784749;True;2025/10/25 16:59:39:17;1761382779017;;
974;577;0.5076872;0.5349091;0.3449226;0.4975381;572.0;0.1951228;True;2025/10/25 16:59:39:92;1761382779092;;
793;574;0.4132549;0.5314958;0.3142708;0.478811;571.7;0.1944774;True;2025/10/25 16:59:39:149;1761382779149;;
1222;573;0.6366155;0.5312408;0.869149;0.5143308;572.6;0.1972463;True;2025/10/25 16:59:39:198;1761382779198;;
1256;573;0.6543476;0.530959;0.7075486;0.519245;573.6;0.1974787;True;2025/10/25 16:59:39:263;1761382779263;;
1252;571;0.6523425;0.5294129;0.6173506;0.4853505;573.5;0.2035833;True;2025/10/25 16:59:39:304;1761382779304;;
1209;569;0.6300992;0.5272566;0.5255662;0.4706532;572.0;0.1922184;True;2025/10/25 16:59:39:334;1761382779334;;
1170;566;0.6096064;0.5248886;0.5254991;0.470643;570.5;0.1922395;True;2025/10/25 16:59:39:379;1761382779379;;
1174;566;0.6117211;0.5246482;0.6361367;0.5016762;569.9;0.1964062;True;2025/10/25 16:59:39:416;1761382779416;;
1199;566;0.6249251;0.5244329;0.700802;0.5121925;569.4;0.1962195;True;2025/10/25 16:59:39:444;1761382779444;;
1199;566;0.6248766;0.5246066;0.6167389;0.5297765;570.2;0.2010575;True;2025/10/25 16:59:39:473;1761382779473;;
1199;566;0.6248382;0.5247488;0.6168621;0.5297867;570.9;0.2010709;True;2025/10/25 16:59:39:501;1761382779501;;
1169;566;0.609083;0.5241286;0.5336879;0.4926878;576.0;0.1788099;True;2025/10/25 16:59:39:542;1761382779542;;
1146;566;0.5972543;0.5241065;0.5184098;0.5049281;580.6;0.1784834;True;2025/10/25 16:59:39:570;1761382779570;;
