X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1429;591;0.744383;0.5478535;0.744383;0.5478535;599.8;0.1866508;True;2025/10/25 16:58:26:207;1761382706207;;
2162;592;1.126138;0.5487285;1.304999;0.5684061;600.9;0.1873358;True;2025/10/25 16:58:26:277;1761382706277;Offscreen;
2135;592;1.112049;0.5488306;1.077774;0.5602208;603.0;0.2258587;False;2025/10/25 16:58:26:321;1761382706321;Offscreen;
1937;592;1.009169;0.548685;0.771555;0.5411729;604.2;0.2264325;False;2025/10/25 16:58:26:361;1761382706361;Offscreen;
1822;592;0.9490906;0.5485727;0.7716551;0.541179;605.2;0.2265175;False;2025/10/25 16:58:26:398;1761382706398;;
1808;592;0.9419944;0.548554;0.8606776;0.5460718;606.1;0.224052;False;2025/10/25 16:58:26:447;1761382706447;;
2036;592;1.060676;0.548543;1.217927;0.5461305;613.5;0.2428511;False;2025/10/25 16:58:26:484;1761382706484;Offscreen;
2026;592;1.055599;0.5485739;0.9770211;0.5537251;615.6;0.2498595;False;2025/10/25 16:58:26:517;1761382706517;Offscreen;
2022;592;1.0532;0.5485884;0.9635957;0.5524604;617.4;0.2486261;False;2025/10/25 16:58:26:554;1761382706554;Offscreen;
2038;591;1.061526;0.5474102;1.085891;0.5204769;619.0;0.232347;False;2025/10/25 16:58:26:599;1761382706599;Offscreen;
2032;591;1.05869;0.5473236;1.008851;0.5370795;620.7;0.2351656;False;2025/10/25 16:58:26:633;1761382706633;Offscreen;
2028;591;1.056643;0.5472594;1.009091;0.537101;622.2;0.2354513;False;2025/10/25 16:58:26:664;1761382706664;Offscreen;
2174;593;1.132447;0.5494565;1.265568;0.5891068;626.8;0.223395;False;2025/10/25 16:58:26:697;1761382706697;Offscreen;
2306;595;1.20142;0.5515915;1.313625;0.5919155;631.0;0.2226359;False;2025/10/25 16:58:26:733;1761382706733;Offscreen;
2432;598;1.266803;0.5537655;1.366122;0.596003;634.7;0.22039;False;2025/10/25 16:58:26:773;1761382706773;Offscreen;
2218;597;1.155588;0.5536429;0.9167218;0.5476525;634.1;0.2273429;False;2025/10/25 16:58:26:805;1761382706805;Offscreen;
1978;597;1.030501;0.5534128;0.8184322;0.5431029;634.6;0.2313883;False;2025/10/25 16:58:26:838;1761382706838;Offscreen;
1830;597;0.9532005;0.5532122;0.8000194;0.5423952;635.2;0.2317215;False;2025/10/25 16:58:26:868;1761382706868;;
1509;596;0.7862523;0.5524409;0.5928774;0.5284854;632.2;0.2225955;False;2025/10/25 16:58:26:901;1761382706901;;
1360;596;0.7085676;0.5518546;0.5930067;0.528493;629.5;0.2226916;False;2025/10/25 16:58:26:931;1761382706931;;
1317;595;0.6864545;0.5516192;0.6425257;0.5354576;629.1;0.2002711;True;2025/10/25 16:58:26:964;1761382706964;;
1294;595;0.6741139;0.551437;0.6427332;0.53547;628.6;0.20042;True;2025/10/25 16:58:26:994;1761382706994;;
1303;595;0.6790926;0.5511425;0.7014651;0.531161;628.0;0.2236538;False;2025/10/25 16:58:27:26;1761382707026;;
1310;594;0.6824473;0.5509132;0.7016338;0.5311762;627.4;0.2238207;False;2025/10/25 16:58:27:56;1761382707056;;
1315;594;0.6849617;0.5508143;0.7020703;0.5346707;626.9;0.2241521;False;2025/10/25 16:58:27:85;1761382707085;;
1302;594;0.6785505;0.5506293;0.6509908;0.5311132;627.0;0.2357117;False;2025/10/25 16:58:27:117;1761382707117;;
1294;594;0.6741641;0.5504796;0.6509562;0.5311111;627.1;0.2356832;False;2025/10/25 16:58:27:147;1761382707147;;
1382;594;0.7199299;0.5504411;0.8783519;0.5400555;630.5;0.2228656;False;2025/10/25 16:58:27:178;1761382707178;;
1414;594;0.7364986;0.5504053;0.8414612;0.5408364;633.5;0.2237556;False;2025/10/25 16:58:27:207;1761382707207;;
1409;594;0.7340303;0.5501454;0.7120785;0.5276061;634.3;0.2134007;False;2025/10/25 16:58:27:238;1761382707238;;
1409;593;0.7342877;0.5494651;0.7412744;0.5170198;635.1;0.213139;False;2025/10/25 16:58:27:269;1761382707269;;
1471;593;0.7665719;0.5492879;0.8906704;0.5263515;631.6;0.2213951;False;2025/10/25 16:58:27:299;1761382707299;;
1513;593;0.7883525;0.5491425;0.8905551;0.5263403;628.5;0.2212979;False;2025/10/25 16:58:27:329;1761382707329;;
1543;592;0.8039371;0.5490197;0.8905505;0.5263398;625.7;0.2212939;False;2025/10/25 16:58:27:358;1761382707358;;Started calibration 
