X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
649;579;0.3384143;0.5368226;0.3384143;0.5368226;488.2;0.25019;False;2025/10/25 17:06:37:686;1761383197686;;
673;579;0.3509985;0.5369717;0.4331859;0.5496321;490.4;0.2219346;False;2025/10/25 17:06:37:711;1761383197711;;
675;580;0.3519042;0.5375015;0.3758291;0.5627903;492.4;0.226668;False;2025/10/25 17:06:37:733;1761383197733;;
677;580;0.3526708;0.5379601;0.3757291;0.5627806;494.2;0.2265449;False;2025/10/25 17:06:37:757;1761383197757;;
726;580;0.3783396;0.5379447;0.4846778;0.5361854;493.2;0.2294166;False;2025/10/25 17:06:37:786;1761383197786;;
750;580;0.391123;0.5379184;0.4693853;0.5347831;492.2;0.2283172;False;2025/10/25 17:06:37:813;1761383197813;;
773;580;0.4029711;0.5379098;0.4847017;0.5361844;491.4;0.2294373;False;2025/10/25 17:06:37:837;1761383197837;;
849;580;0.4426684;0.5376711;0.5793306;0.5232943;490.2;0.2083999;True;2025/10/25 17:06:37:862;1761383197862;;
889;580;0.4634431;0.5374984;0.5616984;0.5241464;489.1;0.2083882;True;2025/10/25 17:06:37:885;1761383197885;;
918;580;0.4784931;0.5372174;0.5517366;0.5209081;486.8;0.2308146;False;2025/10/25 17:06:37:915;1761383197915;;
975;579;0.5078544;0.5370342;0.6134977;0.5223191;484.7;0.2307847;False;2025/10/25 17:06:37:943;1761383197943;;
983;579;0.5121242;0.5368655;0.5515901;0.5209104;482.8;0.2308083;False;2025/10/25 17:06:37:969;1761383197969;;
1126;579;0.5867521;0.5366313;0.7582198;0.517705;481.3;0.2190293;False;2025/10/25 17:06:37:994;1761383197994;;
1213;579;0.6322681;0.5364385;0.7582773;0.5177056;480.0;0.2190259;False;2025/10/25 17:06:38:18;1761383198018;;
1255;578;0.6536505;0.5353065;0.7293953;0.4965052;480.6;0.2230185;False;2025/10/25 17:06:38:42;1761383198042;;
1281;577;0.6675732;0.5344248;0.729464;0.4965076;481.1;0.2230318;False;2025/10/25 17:06:38:66;1761383198066;;
1302;576;0.6785363;0.5340185;0.73217;0.5044546;481.6;0.2230373;False;2025/10/25 17:06:38:89;1761383198089;;
1290;576;0.6721637;0.5340599;0.5783511;0.5363796;481.7;0.2426352;False;2025/10/25 17:06:38:115;1761383198115;;
1281;576;0.667371;0.5340924;0.5784929;0.5363737;481.8;0.242668;False;2025/10/25 17:06:38:139;1761383198139;;
1273;576;0.6633617;0.5341206;0.578564;0.5363708;481.9;0.2426847;False;2025/10/25 17:06:38:164;1761383198164;;
1271;576;0.6622736;0.5341128;0.6470302;0.5252399;482.2;0.2228924;False;2025/10/25 17:06:38:189;1761383198189;;
1275;576;0.6641433;0.534102;0.6810048;0.5235754;482.5;0.2228947;False;2025/10/25 17:06:38:213;1761383198213;;
1278;576;0.6656352;0.5340922;0.6809625;0.5235764;482.7;0.2228944;False;2025/10/25 17:06:38:237;1761383198237;;
1295;576;0.674953;0.5340636;0.7288032;0.5220267;482.0;0.2232729;False;2025/10/25 17:06:38:263;1761383198263;;
1308;576;0.6813837;0.5340411;0.7289533;0.5220214;481.3;0.2232899;False;2025/10/25 17:06:38:286;1761383198286;;
1328;576;0.69195;0.5336239;0.7539358;0.5072249;482.9;0.2235511;False;2025/10/25 17:06:38:312;1761383198312;;
1342;575;0.6994609;0.5332908;0.7539889;0.5072248;484.2;0.223572;False;2025/10/25 17:06:38:337;1761383198337;;
1354;575;0.7055088;0.5329922;0.7540042;0.5072249;485.5;0.2235779;False;2025/10/25 17:06:38:361;1761383198361;;
1357;575;0.7068365;0.5329533;0.7273529;0.5213003;485.8;0.2113616;False;2025/10/25 17:06:38:386;1761383198386;;
1359;575;0.7080355;0.5329267;0.7299439;0.5207709;486.0;0.2114847;False;2025/10/25 17:06:38:410;1761383198410;;
1361;575;0.7090856;0.5329028;0.7302151;0.5207586;486.2;0.2115392;False;2025/10/25 17:06:38:433;1761383198433;;
1349;575;0.7030906;0.5328538;0.6452748;0.5270098;485.5;0.2167865;False;2025/10/25 17:06:38:460;1761383198460;;
1340;575;0.698135;0.5328177;0.6422862;0.528347;484.8;0.2166179;False;2025/10/25 17:06:38:487;1761383198487;;
1333;575;0.6944645;0.5327832;0.6454214;0.5270029;484.2;0.216821;False;2025/10/25 17:06:38:516;1761383198516;;
1327;575;0.6914583;0.532582;0.6457995;0.5128124;484.1;0.2235635;False;2025/10/25 17:06:38:546;1761383198546;;
1321;574;0.6884528;0.5321386;0.6374664;0.5033823;484.0;0.2242726;False;2025/10/25 17:06:38:569;1761383198569;;
1321;574;0.6883932;0.5320967;0.6722087;0.5269546;484.4;0.2382639;False;2025/10/25 17:06:38:595;1761383198595;;
1321;574;0.6883405;0.5320635;0.6724429;0.5269436;484.7;0.238317;False;2025/10/25 17:06:38:618;1761383198618;;
1321;574;0.6882897;0.5320333;0.6725634;0.5269382;484.9;0.2383446;False;2025/10/25 17:06:38:642;1761383198642;;
1322;573;0.6885762;0.5307186;0.6955152;0.4884712;484.0;0.2314281;False;2025/10/25 17:06:38:668;1761383198668;;
1322;572;0.6887983;0.5297017;0.6955651;0.4884927;483.1;0.2314138;False;2025/10/25 17:06:38:691;1761383198691;;
1316;572;0.6857336;0.5297386;0.6411479;0.5315901;480.5;0.2058468;True;2025/10/25 17:06:38:721;1761383198721;;
1305;572;0.6800743;0.5299352;0.6193718;0.5385723;478.2;0.2058915;True;2025/10/25 17:06:38:749;1761383198749;;
1276;571;0.664827;0.5294394;0.5690422;0.5011256;478.6;0.2161116;False;2025/10/25 17:06:38:775;1761383198775;;
1226;571;0.6386109;0.5288833;0.5142496;0.4970191;479.0;0.2161108;False;2025/10/25 17:06:38:798;1761383198798;;
1188;570;0.6187743;0.5283894;0.5142938;0.4970209;479.4;0.2161108;False;2025/10/25 17:06:38:822;1761383198822;;
1254;570;0.6534479;0.5282204;0.7735947;0.5051728;478.2;0.2180776;False;2025/10/25 17:06:38:850;1761383198850;;
1275;570;0.6642931;0.5280628;0.7283566;0.5049427;477.1;0.2181083;False;2025/10/25 17:06:38:881;1761383198881;;
1278;570;0.6659396;0.5279899;0.6911652;0.5221634;476.2;0.2181251;False;2025/10/25 17:06:38:910;1761383198910;;
1250;571;0.6512398;0.5290505;0.5614856;0.5552572;476.2;0.2255711;False;2025/10/25 17:06:38:935;1761383198935;;
1250;571;0.6514422;0.529425;0.6608461;0.5451049;476.3;0.2255084;False;2025/10/25 17:06:38:958;1761383198958;;
1167;571;0.6078882;0.5294577;0.4670984;0.5324721;476.3;0.205227;True;2025/10/25 17:06:38:984;1761383198984;;
1114;571;0.5802515;0.5294834;0.4671423;0.5324714;476.4;0.205222;True;2025/10/25 17:06:39:8;1761383199008;;
1077;571;0.5613538;0.5294979;0.4732474;0.5315463;476.4;0.2052159;True;2025/10/25 17:06:39:33;1761383199033;;
1024;571;0.5335134;0.5295602;0.4309575;0.5355218;474.7;0.2015482;True;2025/10/25 17:06:39:61;1761383199061;;
991;571;0.5164355;0.5296059;0.4311074;0.5355205;473.2;0.2015435;True;2025/10/25 17:06:39:83;1761383199083;;
1103;571;0.5747471;0.5287708;0.7482079;0.4984657;473.7;0.2139907;False;2025/10/25 17:06:39:109;1761383199109;;
1176;570;0.6125562;0.528093;0.7481719;0.4984656;474.0;0.213979;False;2025/10/25 17:06:39:133;1761383199133;;
1233;569;0.6422994;0.5274247;0.7481822;0.4984657;474.3;0.2139825;False;2025/10/25 17:06:39:161;1761383199161;;
1233;569;0.6423123;0.5273896;0.6425512;0.5236001;474.6;0.2101552;True;2025/10/25 17:06:39:203;1761383199203;;
1233;569;0.6423147;0.5273682;0.6423892;0.5236047;474.8;0.2101496;True;2025/10/25 17:06:39:232;1761383199232;;
988;568;0.5146414;0.5260854;0.3043819;0.4876971;474.3;0.209638;True;2025/10/25 17:06:39:261;1761383199261;;
908;567;0.4731293;0.5254981;0.3531642;0.4933697;473.8;0.2096262;True;2025/10/25 17:06:39:284;1761383199284;;
